,Pos,Equipe,Pts,J,V,E,D,GP,GC,SG,Unnamed: 10
0,1,Corinthians,72,38,21,9,8,50,30,+20,Fase de grupos da Copa Libertadores de 2018[a]
1,2,Palmeiras,63,38,19,6,13,61,45,+16,Fase de grupos da Copa Libertadores de 2018[a]
2,3,Santos,63,38,17,12,9,42,32,+10,Fase de grupos da Copa Libertadores de 2018[a]
3,4,Grêmio,62,38,18,8,12,55,36,+19,Fase de grupos da Copa Libertadores de 2018[a]
4,5,Cruzeiro,57,38,15,12,11,47,39,+8,Fase de grupos da Copa Libertadores de 2018[a]
5,6,Flamengo,56,38,15,11,12,49,38,+11,Fase de grupos da Copa Libertadores de 2018[a]
6,7,Vasco da Gama,56,38,15,11,12,40,47,−7,Segunda fase da Copa Libertadores de 2018
7,8,Chapecoense,54,38,15,9,14,47,49,−2,Segunda fase da Copa Libertadores de 2018
8,9,Atlético Mineiro,54,38,14,12,12,52,49,+3,Copa Sul-Americana de 2018
9,10,Botafogo,53,38,14,11,13,45,42,+3,Copa Sul-Americana de 2018
10,11,Atlético Paranaense,51,38,14,9,15,45,43,+2,Copa Sul-Americana de 2018
11,12,Bahia,50,38,13,11,14,50,48,+2,Copa Sul-Americana de 2018
12,13,São Paulo,50,38,13,11,14,48,49,−1,Copa Sul-Americana de 2018
13,14,Fluminense,47,38,11,14,13,50,53,−3,Copa Sul-Americana de 2018
14,15,Sport,45,38,12,9,17,46,58,−12,
15,16,Vitória,43,38,11,10,17,50,58,−8,
16,17,Coritiba,43,38,11,10,17,42,51,−9,Rebaixados à Série B de 2018
17,18,Avaí,43,38,10,13,15,29,48,−19,Rebaixados à Série B de 2018
18,19,Ponte Preta,39,38,10,9,19,37,52,−15,Rebaixados à Série B de 2018
19,20,Atlético Goianiense,36,38,9,9,20,38,56,−18,Rebaixados à Série B de 2018
