,Pos,Equipe,Pts,J,V,E,D,GP,GC,SG,Classificação ou descenso
0,1,Palmeiras (C),80,38,23,11,4,64,26,+38,Fase de grupos da Copa Libertadores de 2019
1,2,Flamengo,72,38,21,9,8,59,29,+30,Fase de grupos da Copa Libertadores de 2019
2,3,Internacional,69,38,19,12,7,51,29,+22,Fase de grupos da Copa Libertadores de 2019
3,4,Grêmio,66,38,18,12,8,48,27,+21,Fase de grupos da Copa Libertadores de 2019
4,5,São Paulo,63,38,16,15,7,46,34,+12,Segunda fase da Copa Libertadores de 2019
5,6,Atlético Mineiro,59,38,17,8,13,56,43,+13,Segunda fase da Copa Libertadores de 2019
6,7,Atlético Paranaense,57,38,16,9,13,54,37,+17,Fase de grupos da Copa Libertadores de 2019[a]
7,8,Cruzeiro,53,38,14,11,13,34,34,0,Fase de grupos da Copa Libertadores de 2019[a]
8,9,Botafogo,51,38,13,12,13,38,46,−8,Copa Sul-Americana de 2019
9,10,Santos,50,38,13,11,14,46,40,+6,Copa Sul-Americana de 2019
10,11,Bahia,48,38,12,12,14,39,41,−2,Copa Sul-Americana de 2019
11,12,Fluminense,45,38,12,9,17,32,46,−14,Copa Sul-Americana de 2019
12,13,Corinthians,44,38,11,11,16,34,35,−1,Copa Sul-Americana de 2019
13,14,Chapecoense,44,38,11,11,16,34,50,−16,Copa Sul-Americana de 2019
14,15,Ceará,44,38,10,14,14,32,38,−6,
15,16,Vasco da Gama,43,38,10,13,15,41,48,−7,
16,17,América Mineiro (R),40,38,10,10,18,30,47,−17,Rebaixados à Série B de 2019
17,18,Sport (R),39[b],38,11,9,18,35,57,−22,Rebaixados à Série B de 2019
18,19,Vitória (R),37,38,9,10,19,36,63,−27,Rebaixados à Série B de 2019
19,20,Paraná (R),23,38,4,11,23,18,57,−39,Rebaixados à Série B de 2019
