rodada,data,mandante,visitante,vencedor
1,15/04/2006,Juventude,Parana,Juventude
1,15/04/2006,Vasco,Internacional,-
1,16/04/2006,Sao Paulo,Flamengo,Sao Paulo
1,16/04/2006,Gremio,Corinthians,Gremio
1,16/04/2006,Botafogo-RJ,Fortaleza,Botafogo-RJ
1,16/04/2006,Sao Caetano,Cruzeiro,Sao Caetano
1,16/04/2006,Palmeiras,Ponte Preta,Ponte Preta
1,16/04/2006,Santa Cruz,Figueirense,-
1,16/04/2006,Athletico-PR,Fluminense,Fluminense
1,16/04/2006,Goias,Santos,-
2,22/04/2006,Corinthians,Sao Caetano,Corinthians
2,22/04/2006,Fluminense,Goias,Fluminense
2,22/04/2006,Figueirense,Palmeiras,Figueirense
2,23/04/2006,Internacional,Santa Cruz,Internacional
2,23/04/2006,Santos,Athletico-PR,Santos
2,23/04/2006,Ponte Preta,Vasco,Vasco
2,23/04/2006,Flamengo,Juventude,Flamengo
2,23/04/2006,Cruzeiro,Gremio,Cruzeiro
2,23/04/2006,Parana,Botafogo-RJ,-
2,23/04/2006,Fortaleza,Sao Paulo,Fortaleza
3,29/04/2006,Fortaleza,Sao Caetano,Fortaleza
3,29/04/2006,Botafogo-RJ,Athletico-PR,Athletico-PR
3,29/04/2006,Sao Paulo,Santa Cruz,Sao Paulo
3,30/04/2006,Ponte Preta,Corinthians,Ponte Preta
3,30/04/2006,Internacional,Flamengo,Internacional
3,30/04/2006,Parana,Gremio,Parana
3,30/04/2006,Palmeiras,Santos,Santos
3,30/04/2006,Vasco,Fluminense,-
3,30/04/2006,Juventude,Goias,-
3,30/04/2006,Figueirense,Cruzeiro,Cruzeiro
4,06/05/2006,Santa Cruz,Ponte Preta,-
4,06/05/2006,Fluminense,Parana,Fluminense
4,06/05/2006,Santos,Fortaleza,Santos
4,07/05/2006,Gremio,Vasco,Vasco
4,07/05/2006,Sao Caetano,Palmeiras,Sao Caetano
4,07/05/2006,Athletico-PR,Internacional,Internacional
4,07/05/2006,Corinthians,Sao Paulo,Sao Paulo
4,07/05/2006,Flamengo,Botafogo-RJ,Flamengo
4,07/05/2006,Goias,Figueirense,Goias
4,07/05/2006,Cruzeiro,Juventude,Cruzeiro
5,13/05/2006,Sao Caetano,Juventude,Juventude
5,13/05/2006,Botafogo-RJ,Gremio,-
5,13/05/2006,Santos,Ponte Preta,Santos
5,14/05/2006,Santa Cruz,Athletico-PR,Athletico-PR
5,14/05/2006,Internacional,Sao Paulo,Internacional
5,14/05/2006,Figueirense,Fluminense,Figueirense
5,14/05/2006,Palmeiras,Cruzeiro,-
